Id,TrainNo,SourceCode,DestinationCode,Cars,StartingFrom,EndAt,DepartureTime,ArrivalTime,Type,Quota,DaysOfRun
115,47110,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,11:25AM,11:39AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
116,47111,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,11:55AM,12:09PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
117,47112,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,1:05PM,1:19PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
118,47113,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,2:30PM,2:44PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
119,47114,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,3:10PM,3:24PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
120,47115,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,3:40PM,3:54PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
121,47116,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,4:00PM,4:14PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
122,47117,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,4:50PM,5:04PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
123,47118,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,5:35PM,5:49PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
124,47119,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,6:05PM,6:19PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
125,47120,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,7:00PM,7:14PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
126,47121,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,7:30PM,7:44PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
127,47122,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,8:00PM,8:14PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
128,47123,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,8:50PM,9:04PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
129,47124,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,9:20PM,9:34PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
130,47125,Hyderabad,NatureCureHospital,NA,Hyderabad,Lingampally,9:50PM,10:04PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
131,47100,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,5:10AM,5:26AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
132,47101,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,6:00AM,6:16AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
133,47102,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,6:40AM,6:56AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
134,47103,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,7:20AM,7:36AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
135,47104,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,7:50AM,8:06AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
136,47105,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,8:20AM,8:36AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
137,47106,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,9:00AM,9:16AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
138,47107,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,9:35AM,9:51AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
139,47108,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,10:10AM,10:26AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
140,47109,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,10:50AM,11:06AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
141,47110,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,11:25AM,11:41AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
142,47111,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,11:55AM,12:11PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
143,47112,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,1:05PM,1:21PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
144,47113,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,2:30PM,2:46PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
145,47114,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,3:10PM,3:26PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
146,47115,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,3:40PM,3:56PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
147,47116,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,4:00PM,4:16PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
148,47117,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,4:50PM,5:06PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
149,47118,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,5:35PM,5:51PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
150,47119,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,6:05PM,6:21PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
151,47120,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,7:00PM,7:16PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
152,47121,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,7:30PM,7:46PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
153,47122,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,8:00PM,8:16PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
154,47123,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,8:50PM,9:06PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
155,47124,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,9:20PM,9:36PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
156,47125,Hyderabad,Fatehnagar,NA,Hyderabad,Lingampally,9:50PM,10:06PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
