Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare
Anna Nagar East,Ashok Nagar,16Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar:,8,0,35
Anna Nagar East,Chennai Central,14Min,@Green: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park: Egmore: Chennai Central:,7,0,30
Anna Nagar East,CMBT,9Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT:,5,0,25
Anna Nagar East,Egmore,11Min,@Green: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park: Egmore:,6,0,25
Anna Nagar East,Ekkattuthangal,19Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal:,9,0,40
Anna Nagar East,Guindy,24Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy:,11,1,45
Anna Nagar East,Kilpauk Medical College,6Min,@Green: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College:,4,0,15
Anna Nagar East,Koyambedu,7Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu:,4,0,15
Anna Nagar East,Little Mount,27Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount:,12,1,45
Anna Nagar East,Meenambakkam,28Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Nanganallur Road: Meenambakkam:,12,1,45
Anna Nagar East,Nandanam,33Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount: Saidapet: Nandanam:,14,1,50
Anna Nagar East,Nanganallur Road,24Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Nanganallur Road:,11,1,45
Anna Nagar East,Nehru Park,8Min,@Green: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park:,5,0,25
Anna Nagar East,Pachaiyappas College,4Min,@Green: Anna Nagar East: Shenoy Nagar: Pachaiyappas College:,3,0,15
Anna Nagar East,Saidapet,30Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount: Saidapet:,13,1,45
Anna Nagar East,Shenoy Nagar,2Min,@Green: Anna Nagar East: Shenoy Nagar:,2,0,10
Anna Nagar East,St Thomas Mount,24Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur: St Thomas Mount:,11,0,45
Anna Nagar East,Teynampet,35Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount: Saidapet: Nandanam: Teynampet:,15,1,50
Anna Nagar East,Thirumangalam,4Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam:,3,0,15
Anna Nagar East,Vadapalani,13Min,@Green: Anna Nagar East: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani:,7,0,30
Anna Nagar Tower,AG-DMS,35Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount: Saidapet: Nandanam: Teynampet: AG-DMS:,15,1,50
Anna Nagar Tower,Airport,29Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Nanganallur Road: Meenambakkam: Airport:,12,1,45
Anna Nagar Tower,Alandur,19Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:,9,0,40
Anna Nagar Tower,Anna Nagar East,2Min,@Green: Anna Nagar Tower: Anna Nagar East:,2,0,10
Anna Nagar Tower,Arumbakkam,9Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam:,5,0,25
Anna Nagar Tower,Ashok Nagar,14Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar:,7,0,35
Anna Nagar Tower,Chennai Central,16Min,@Green: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park: Egmore: Chennai Central:,8,0,35
Anna Nagar Tower,CMBT,7Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT:,4,0,25
Anna Nagar Tower,Egmore,13Min,@Green: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Park: Egmore:,7,0,30
Anna Nagar Tower,Ekkattuthangal,17Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal:,8,0,40
Anna Nagar Tower,Guindy,22Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy:,10,1,40
Anna Nagar Tower,Kilpauk Medical College,8Min,@Green: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College:,5,0,25
Anna Nagar Tower,Koyambedu,5Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu:,3,0,15
Anna Nagar Tower,Little Mount,25Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Guindy: Little Mount:,11,1,45
Anna Nagar Tower,Meenambakkam,26Min,@Green: Anna Nagar Tower: Thirumangalam: Koyambedu: CMBT: Arumbakkam: Vadapalani: Ashok Nagar: Ekkattuthangal: Alandur:;@Blue: Nanganallur Road: Meenambakkam:,11,1,45
