Station Name,Line,Opened,Layout
DWARKA, Blue Line ,30-Dec-05,Elevated
DWARKA MOR, Blue Line ,30-Dec-05,Elevated
DWARKA SEC 8, Blue Line ,30-Oct-10,Elevated
DWARKA SEC 9, Blue Line ,01-Apr-06,Elevated
DWARKA SEC 10, Blue Line ,01-Apr-06,Elevated
DWARKA SEC 11, Blue Line ,01-Apr-06,Elevated
DWARKA SEC 12, Blue Line ,01-Apr-06,Elevated
DWARKA SEC 13, Blue Line ,01-Apr-06,Elevated
DWARKA SEC 14, Blue Line ,01-Apr-06,Elevated
DWARKA SEC 21, Blue Line ,30-Oct-10,Underground
DWARKA SEC 21, Orange Line ,23-Feb-11,Underground
EAST AZAD NAGAR, Pink Line ,31-Oct-18,Elevated
EAST VINOD NAGAR - MAYUR VIHAR-II, Pink Line ,31-Oct-18,Elevated
ESCORTS MUJESAR, Violet Line ,06-Sep-15,Elevated
ESI BASAIDARAPUR, Pink Line ,14-Mar-18,Elevated
GHEVRA, Green Line ,24-Jun-18,Elevated
GHITORNI, Yellow Line ,21-Jun-10,Elevated
GOKULPURI, Pink Line ,31-Oct-18,Elevated
GOLF COURSE, Blue Line ,12-Nov-09,Elevated
GOVIND PURI, Violet Line ,03-Oct-10,Elevated
GREATER KAILASH, Magenta Line ,29-May-18,Underground
GREEN PARK, Yellow Line ,03-Sep-10,Underground
G.T.B NAGAR, Yellow Line ,04-Feb-09,Underground
GURU DRONACHARYA, Yellow Line ,21-Jun-10,Elevated
HAIDERPUR BADLI MOR, Yellow Line ,10-Nov-15,Elevated
HARKESH NAGAR OKHLA, Violet Line ,03-Oct-10,Elevated
HAUZ KHAS, Yellow Line ,03-Sep-10,Underground
HAUZ KHAS, Magenta Line ,29-May-18,Underground
SARAI KALE KHAN - NIZAMUDDIN, Pink Line ,31-Dec-18,Underground
HINDON RIVER, Red Line ,08-Mar-19,Elevated
HUDA CITY CENTRE, Yellow Line ,21-Jun-10,Elevated
IFFCO CHOWK, Yellow Line ,21-Jun-10,Elevated
